aliquot_barcode,participant_id,library_size,selected
TCGA-55-7913-01B-11R-2241-07,TCGA-55-7913,73882865,TRUE
TCGA-55-7914-01A-11R-2170-07,TCGA-55-7914,42803533,TRUE
TCGA-55-7994-01A-11R-2187-07,TCGA-55-7994,64164710,TRUE
TCGA-55-7995-01A-11R-2187-07,TCGA-55-7995,70270756,TRUE
TCGA-55-8085-01A-11R-2241-07,TCGA-55-8085,64875987,TRUE
TCGA-55-8087-01A-11R-2241-07,TCGA-55-8087,71573567,TRUE
TCGA-55-8089-01A-11R-2241-07,TCGA-55-8089,66962229,TRUE
TCGA-55-8091-01A-11R-2241-07,TCGA-55-8091,60579652,TRUE
TCGA-55-8092-01A-11R-2241-07,TCGA-55-8092,67053369,TRUE
TCGA-55-8096-01A-11R-2241-07,TCGA-55-8096,75716427,TRUE
TCGA-55-8097-01A-11R-2241-07,TCGA-55-8097,70835524,TRUE
TCGA-55-8203-01A-11R-2241-07,TCGA-55-8203,72843319,TRUE
TCGA-55-8204-01A-11R-2241-07,TCGA-55-8204,57046213,TRUE
TCGA-55-8205-01A-11R-2241-07,TCGA-55-8205,62357847,TRUE
TCGA-55-8206-01A-11R-2241-07,TCGA-55-8206,69932649,TRUE
TCGA-55-8207-01A-11R-2241-07,TCGA-55-8207,65681950,TRUE
TCGA-55-8208-01A-11R-2241-07,TCGA-55-8208,57639141,TRUE
TCGA-55-8299-01A-11R-2287-07,TCGA-55-8299,50871939,TRUE
TCGA-55-8301-01A-11R-2287-07,TCGA-55-8301,54486120,TRUE
TCGA-55-8302-01A-11R-2326-07,TCGA-55-8302,38908065,TRUE
TCGA-55-8506-01A-11R-2403-07,TCGA-55-8506,36823196,TRUE
TCGA-55-8507-01A-11R-2403-07,TCGA-55-8507,37917233,TRUE
TCGA-55-8508-01A-11R-2403-07,TCGA-55-8508,29044643,TRUE
TCGA-55-8510-01A-11R-2403-07,TCGA-55-8510,36378519,TRUE
TCGA-55-8511-01A-11R-2403-07,TCGA-55-8511,38162691,TRUE
TCGA-55-8513-01A-11R-2403-07,TCGA-55-8513,29313663,TRUE
TCGA-55-8614-01A-11R-2403-07,TCGA-55-8614,34586515,TRUE
TCGA-55-8615-01A-11R-2403-07,TCGA-55-8615,40830613,TRUE
TCGA-55-8616-01A-11R-2403-07,TCGA-55-8616,40210323,TRUE
TCGA-55-8619-01A-11R-2403-07,TCGA-55-8619,40720935,TRUE
TCGA-55-8620-01A-11R-2403-07,TCGA-55-8620,35436054,TRUE
TCGA-55-8621-01A-11R-2403-07,TCGA-55-8621,42974140,TRUE
TCGA-55-A48X-01A-11R-A24H-07,TCGA-55-A48X,42140603,TRUE
TCGA-55-A48Y-01A-11R-A24H-07,TCGA-55-A48Y,43835538,TRUE
TCGA-55-A48Z-01A-12R-A24X-07,TCGA-55-A48Z,46181571,TRUE
TCGA-55-A490-01A-11R-A466-07,TCGA-55-A490,46096822,TRUE
TCGA-55-A491-01A-11R-A24H-07,TCGA-55-A491,43535937,TRUE
TCGA-55-A492-01A-11R-A24H-07,TCGA-55-A492,46902050,TRUE
TCGA-55-A493-01A-11R-A24H-07,TCGA-55-A493,44084175,TRUE
TCGA-55-A4DF-01A-11R-A24H-07,TCGA-55-A4DF,43811456,TRUE
TCGA-55-A4DG-01A-11R-A24H-07,TCGA-55-A4DG,40410099,TRUE
TCGA-55-A57B-01A-12R-A39D-07,TCGA-55-A57B,58525313,TRUE
TCGA-62-8394-01A-11R-2326-07,TCGA-62-8394,47702642,TRUE
TCGA-62-8395-01A-11R-2326-07,TCGA-62-8395,44092313,TRUE
TCGA-62-8397-01A-11R-2326-07,TCGA-62-8397,18571641,TRUE
TCGA-62-8399-01A-21R-2326-07,TCGA-62-8399,51254577,TRUE
TCGA-62-8402-01A-11R-2326-07,TCGA-62-8402,41192711,TRUE
TCGA-62-A46O-01A-11R-A24H-07,TCGA-62-A46O,37535998,TRUE
TCGA-62-A46P-01A-11R-A24H-07,TCGA-62-A46P,30434138,TRUE
TCGA-62-A46U-01A-11R-A24H-07,TCGA-62-A46U,48528961,TRUE
TCGA-62-A46V-01A-11R-A24H-07,TCGA-62-A46V,42599033,TRUE
TCGA-62-A46Y-01A-11R-A24H-07,TCGA-62-A46Y,45434403,TRUE
TCGA-62-A470-01A-11R-A24H-07,TCGA-62-A470,18001906,TRUE
TCGA-62-A471-01A-12R-A24H-07,TCGA-62-A471,43156475,TRUE
TCGA-62-A472-01A-11R-A24H-07,TCGA-62-A472,21164625,TRUE
TCGA-64-1676-01A-01R-0946-07,TCGA-64-1676,36435686,TRUE
TCGA-64-1677-01A-01R-0946-07,TCGA-64-1677,23048855,TRUE
TCGA-64-1678-01A-01R-0946-07,TCGA-64-1678,31782400,TRUE
TCGA-64-1679-01A-21R-2066-07,TCGA-64-1679,77767889,TRUE
TCGA-64-1680-01A-02R-0946-07,TCGA-64-1680,32812081,TRUE
