ensembl_gene_id,gene_name,gene_type,base_mean,raw_log2_fold_change,shrunken_log2_fold_change,statistic,p_value,adjusted_p_value,selected,direction
ENSG00000173253.15,DMRT2,protein_coding,44.24741824108772,-2.1455147863841946,-2.0521189978000525,-6.99150956493339,2.719440825202534e-12,2.2448616520043514e-9,TRUE,Lower in G12C
ENSG00000286081.1,AC016682.1,lncRNA,7.115853851076832,-3.3532214930199875,-3.19616746893863,-6.872523754632901,6.30758725526029e-12,5.069806250984607e-9,TRUE,Lower in G12C
ENSG00000145526.12,CDH18,protein_coding,54.56173116125897,-4.125658221497072,-3.929745576979329,-6.86209909552727,6.785596336909719e-12,5.181311722955839e-9,TRUE,Lower in G12C
ENSG00000156687.11,UNC5D,protein_coding,102.84433602862741,3.6413113083410282,3.3733540493940626,6.8647316974864285,6.661633685698812e-12,5.181311722955839e-9,TRUE,Higher in G12C
ENSG00000256810.2,AC078925.1,lncRNA,4.14850518188778,2.0124438360115606,1.917591468013958,6.802135046770738,1.0307989824747169e-11,7.678949590664702e-9,TRUE,Higher in G12C
ENSG00000187775.17,DNAH17,protein_coding,326.78136235226344,1.217632325660808,1.1727452126047293,6.774670312219773,1.2469027012021985e-11,9.003495098560948e-9,TRUE,Higher in G12C
ENSG00000269964.3,MEI4,protein_coding,17.66578246029978,-3.283180428822957,-3.1086431096477947,-6.772294459787328,1.2675581614056273e-11,9.003495098560948e-9,TRUE,Lower in G12C
ENSG00000003987.14,MTMR7,protein_coding,310.7928648289803,1.8191454187048388,1.7334350282251625,6.731575470171145,1.6783573850912195e-11,1.16504703665548e-8,TRUE,Higher in G12C
ENSG00000137090.12,DMRT1,protein_coding,10.634490649784533,-3.4106705968153337,-3.2559229400912963,-6.724499899780974,1.7619654113414967e-11,1.1959046568578518e-8,TRUE,Lower in G12C
ENSG00000176402.6,GJC3,protein_coding,24.09712537509754,-1.9236805069840863,-1.8262658175479436,-6.605967045456406,3.949307419665288e-11,2.5664616280603594e-8,TRUE,Lower in G12C
ENSG00000119125.17,GDA,protein_coding,177.24516773608917,-2.747312762259508,-2.6076661852374126,-6.5706705659461395,5.0089169421029946e-11,3.187236461721912e-8,TRUE,Lower in G12C
ENSG00000253632.1,AC084026.2,lncRNA,6.948221787007993,2.0873552522584964,1.987723037442653,6.567194853134191,5.1271936663424126e-11,3.195915839818292e-8,TRUE,Higher in G12C
ENSG00000171766.17,GATM,protein_coding,1242.342279855163,-1.354714048461856,-1.2860380607080433,-6.510359096673959,7.497136388631632e-11,4.5797007343595185e-8,TRUE,Lower in G12C
ENSG00000161055.4,SCGB3A1,protein_coding,24556.242580714654,-2.71364669905226,-2.5716829116373012,-6.480342894892975,9.151439992682525e-11,5.4806359156176934e-8,TRUE,Lower in G12C
ENSG00000089199.10,CHGB,protein_coding,1315.5477667617927,2.829379777431512,2.6690627035137733,6.458331042012605,1.058639665470304e-10,6.218082942780672e-8,TRUE,Higher in G12C
ENSG00000170162.14,VGLL2,protein_coding,104.0247004872982,-5.952424309030741,-5.406449742363595,-6.443382337084579,1.1683985884561156e-10,6.73328265796512e-8,TRUE,Lower in G12C
ENSG00000113889.14,KNG1,protein_coding,44.073786493453575,-3.4935630757832095,-3.2915720947827247,-6.420147695748666,1.3614219289520777e-10,7.425341067139877e-8,TRUE,Lower in G12C
ENSG00000152931.9,PART1,lncRNA,43.465472969967855,2.829647425027778,2.6620095282172063,6.421546972495443,1.3489637405616244e-10,7.425341067139877e-8,TRUE,Higher in G12C
ENSG00000228695.10,CES1P1,transcribed_unprocessed_pseudogene,50.96101158006386,-2.3251751588102256,-2.19308773293858,-6.408864133911145,1.4660776834051691e-10,7.855861523551594e-8,TRUE,Lower in G12C
ENSG00000115616.3,SLC9A2,protein_coding,143.20866043701042,-2.0652289170288767,-1.9612197131903415,-6.405153369417415,1.5021829918111596e-10,7.910547434291077e-8,TRUE,Lower in G12C
ENSG00000151962.8,RBM46,protein_coding,35.722089405136465,-3.427966951151424,-3.224349353693451,-6.392991034920688,1.6267180286076762e-10,8.421160804705806e-8,TRUE,Lower in G12C
ENSG00000266066.1,POLRMTP1,processed_pseudogene,122.85735556208765,1.7482779793275796,1.6567535849305122,6.38898887302113,1.6698620806011555e-10,8.500432921300183e-8,TRUE,Higher in G12C
ENSG00000077264.15,PAK3,protein_coding,263.934785671062,1.9225750964921349,1.8074031628394278,6.379697664994705,1.774379283360087e-10,8.77828498821165e-8,TRUE,Higher in G12C
ENSG00000256812.2,CAPNS2,protein_coding,62.976740117584356,-2.8016398917942062,-2.6318427669134428,-6.379047640451204,1.781926036306592e-10,8.77828498821165e-8,TRUE,Lower in G12C
ENSG00000067048.17,DDX3Y,protein_coding,994.7746345045289,1.8636666271150617,1.7088150941679068,6.374038147484092,1.841147622864815e-10,8.926059023041276e-8,TRUE,Higher in G12C
ENSG00000114113.6,RBP2,protein_coding,24.987212956218887,-2.054159862550207,-1.9460631775483195,-6.335774039554014,2.3615267059272967e-10,1.1270017215490222e-7,TRUE,Lower in G12C
ENSG00000122711.9,SPINK4,protein_coding,71.78038045084433,3.0014889340001263,2.6959037096647367,6.326926749502486,2.500919993412292e-10,1.1751630670583327e-7,TRUE,Higher in G12C
ENSG00000152092.16,ASTN1,protein_coding,55.18883698932963,-2.390035972298975,-2.2537707590375535,-6.322852736852668,2.567779923962323e-10,1.1882985184482004e-7,TRUE,Lower in G12C
ENSG00000197520.10,FAM177B,protein_coding,149.25816631535398,1.7515288374988887,1.6599712485611131,6.319470658304323,2.6246077452041736e-10,1.1964685725637474e-7,TRUE,Higher in G12C
ENSG00000135472.9,FAIM2,protein_coding,268.3759305546419,1.6894513092458963,1.5938858758580097,6.298334179155155,3.008613407631371e-10,1.3513541074894847e-7,TRUE,Higher in G12C
ENSG00000109832.14,DDX25,protein_coding,29.63030038223354,-2.00221610860261,-1.8922857742914718,-6.246953835670109,4.1853469419585236e-10,1.8526529224382493e-7,TRUE,Lower in G12C
ENSG00000156689.7,GLYATL2,protein_coding,113.6066578825155,-3.021225863088751,-2.7966353124971346,-6.171169840427925,6.77865575889313e-10,2.957721183483898e-7,TRUE,Lower in G12C
ENSG00000067646.12,ZFY,protein_coding,263.18216201461877,1.7653071966919702,1.6276072486552289,6.161454147229534,7.20799433125954e-10,3.0576912619397237e-7,TRUE,Higher in G12C
ENSG00000259828.1,AL355596.1,lncRNA,38.17267471831096,-2.8404978466839492,-2.670214569894931,-6.163355264732635,7.121947548134044e-10,3.0576912619397237e-7,TRUE,Lower in G12C
ENSG00000231533.2,AL391840.1,lncRNA,19.835993120990995,1.9072690291432621,1.7357182018887731,6.107947738690961,1.0092038557961757e-9,4.2224812832304926e-7,TRUE,Higher in G12C
ENSG00000170477.13,KRT4,protein_coding,612.3881077484459,-2.287614689970116,-2.145950632346063,-6.100843606737021,1.0551010531779763e-9,4.354858306380396e-7,TRUE,Lower in G12C
ENSG00000120875.9,DUSP4,protein_coding,4927.969540022051,1.457313460023913,1.3765731208887304,6.095299501811147,1.092327434136086e-9,4.448394242775797e-7,TRUE,Higher in G12C
ENSG00000182366.10,FAM87A,lncRNA,11.285550589376863,1.7380630555785297,1.6312000678247482,6.090453457535481,1.1259131445542977e-9,4.5248375229107783e-7,TRUE,Higher in G12C
ENSG00000168913.7,ENHO,protein_coding,19.57911826428177,-1.5587541928034978,-1.4699573478575068,-6.03865129191247,1.554076764368229e-9,6.085405976166516e-7,TRUE,Lower in G12C
ENSG00000180251.5,SLC9A4,protein_coding,37.54837741007391,-3.2152807574707962,-2.9124257429440794,-6.029120040000175,1.6485481003059285e-9,6.373620838942275e-7,TRUE,Lower in G12C
ENSG00000148053.17,NTRK2,protein_coding,417.2584858784054,-1.7339609098395798,-1.625667364738472,-6.0186760146431535,1.7584943066328595e-9,6.713711450935929e-7,TRUE,Lower in G12C
ENSG00000139292.13,LGR5,protein_coding,213.21758489988568,-2.0379659737583653,-1.9158530150248922,-6.0092086211014974,1.8643110067698145e-9,7.029833466638327e-7,TRUE,Lower in G12C
ENSG00000196542.8,SPTSSB,protein_coding,297.8721975297637,-2.245928453473934,-2.1045443756192417,-6.002472318936283,1.9433540100979194e-9,7.2385196988318e-7,TRUE,Lower in G12C
ENSG00000102243.13,VGLL1,protein_coding,221.04889118436066,-2.1371216781377758,-1.999306803115745,-5.998100931643267,1.9963842851815894e-9,7.346453641241119e-7,TRUE,Lower in G12C
ENSG00000279415.1,AC099494.2,TEC,14.820157141301113,1.0866528551035897,1.0247739941497085,5.981142362732333,2.2157810642437882e-9,8.056738219666431e-7,TRUE,Higher in G12C
ENSG00000130035.9,GALNT8,protein_coding,12.345529605106059,-1.8995853286079223,-1.783992479684607,-5.958467888436222,2.5461366412865884e-9,9.042633887769335e-7,TRUE,Lower in G12C
ENSG00000101098.13,RIMS4,protein_coding,67.50777668963784,-2.201582892566061,-2.065530123361825,-5.927346737854785,3.0786845990578394e-9,1.0808306173450987e-6,TRUE,Lower in G12C
